year,county,cause,sex,age_code,N
108,0111,17,1,21,1
108,0111,18,1,20,2
108,0111,18,1,21,1
108,0111,18,1,22,1
108,0111,18,2,17,1
108,0111,18,2,19,1
108,0111,18,2,21,1
108,0111,18,2,22,4
108,0111,18,2,25,1
108,0111,19,2,12,1
108,0111,19,2,13,1
108,0111,19,2,14,2
108,0111,19,2,15,1
108,0111,19,2,16,3
108,0111,19,2,17,11
108,0111,19,2,18,3
108,0111,19,2,19,6
108,0111,19,2,20,2
108,0111,19,2,21,4
108,0111,19,2,22,1
108,0111,19,2,23,3
108,0111,20,2,14,1
108,0111,20,2,16,2
108,0111,20,2,18,1
108,0111,21,2,13,1
108,0111,21,2,16,1
108,0111,21,2,17,1
108,0111,21,2,19,1
108,0111,21,2,23,1
108,0111,22,2,15,1
108,0111,22,2,16,1
108,0111,22,2,18,2
108,0111,22,2,21,1
108,0111,23,1,16,1
108,0111,23,1,17,1
108,0111,23,1,18,1
108,0111,23,1,19,2
108,0111,23,1,21,2
108,0111,23,1,22,1
108,0111,23,1,23,2
108,0111,23,1,24,2
108,0111,25,1,16,1
108,0111,25,1,20,2
108,0111,25,1,21,1
108,0111,25,1,22,1
108,0111,25,2,22,1
108,0111,26,1,18,1
108,0111,26,1,19,3
108,0111,26,1,20,2
108,0111,26,1,23,2
108,0111,26,1,24,1
108,0111,26,2,23,3
108,0111,26,2,25,1
108,0111,27,1,17,2
108,0111,27,1,19,1
108,0111,27,1,21,1
108,0111,28,2,22,1
108,0111,29,1,19,1
108,0111,29,2,22,1
108,0111,31,1,16,1
108,0111,31,1,19,1
108,0111,31,1,22,2
108,0111,31,1,25,1
108,0111,31,2,19,2
108,0111,31,2,22,3
108,0111,32,1,18,1
108,0111,32,1,19,1
108,0111,32,1,20,1
108,0111,32,1,23,1
108,0111,32,2,18,1
108,0111,32,2,19,2
108,0111,32,2,20,1
108,0111,32,2,23,1
108,0111,33,1,16,1
108,0111,33,1,17,1
108,0111,33,1,18,3
108,0111,33,1,19,1
108,0111,33,1,20,1
108,0111,33,1,21,1
108,0111,33,1,22,1
108,0111,33,1,23,4
108,0111,33,1,25,1
108,0111,33,2,07,1
108,0111,33,2,10,1
108,0111,33,2,14,1
108,0111,33,2,18,2
108,0111,33,2,19,3
108,0111,33,2,21,3
108,0111,33,2,22,1
108,0112,01,1,15,1
108,0112,01,1,16,2
108,0112,01,1,17,2
108,0112,01,1,18,2
108,0112,01,1,19,1
108,0112,01,1,20,1
108,0112,01,1,21,1
108,0112,02,2,14,1
108,0112,03,1,22,1
108,0112,03,2,19,1
108,0112,04,1,16,2
108,0112,04,1,17,4
108,0112,04,1,19,1
108,0112,04,1,21,1
108,0112,04,1,22,1
108,0112,04,2,17,1
108,0112,05,1,16,3
108,0112,05,1,17,1
108,0112,05,1,18,3
108,0112,05,1,19,2
108,0112,05,1,22,2
